# " Edge Detection "=CB1483967969L-2946-1482229829-1336791198
# "ON cell"=CB1483968641L-10681-1482242139-1340260725
# " OFF cell"=CB1483968662L-10681-1482242141-2064399623
# "EMD Right"=CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "WTA Excit"=CB1484054649CB1483972179CB1483633443L-3491-1483629212-993412282
# "WTA Inhib"=CB1484054657CB1483972215CB1483972179CB1483633443L-3491-1483629212-993412282
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# " Edge Detection "=CB1483967969L-2946-1482229829-1336791198
# "ON cell"=CB1483968641L-10681-1482242139-1340260725
# " OFF cell"=CB1483968662L-10681-1482242141-2064399623
# "EMD Right"=CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "WTA Excit"=CB1484054649CB1483972179CB1483633443L-3491-1483629212-993412282
# "WTA Inhib"=CB1484054657CB1483972215CB1483972179CB1483633443L-3491-1483629212-993412282
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# " Edge Detection "=CB1483967969L-2946-1482229829-1336791198
# "ON cell"=CB1483968641L-10681-1482242139-1340260725
# " OFF cell"=CB1483968662L-10681-1482242141-2064399623
# "EMD Right"=CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "WTA Excit"=CB1484054649CB1483972179CB1483633443L-3491-1483629212-993412282
# "WTA Inhib"=CB1484054657CB1483972215CB1483972179CB1483633443L-3491-1483629212-993412282
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# " Edge Detection "=CB1483967969L-2946-1482229829-1336791198
# "ON cell"=CB1483968641L-10681-1482242139-1340260725
# " OFF cell"=CB1483968662L-10681-1482242141-2064399623
# "EMD Right"=CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "WTA Excit"=CB1484054649CB1483972179CB1483633443L-3491-1483629212-993412282
# "WTA Inhib"=CB1484054657CB1483972215CB1483972179CB1483633443L-3491-1483629212-993412282
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1483967969L-2946-1482229829-1336791198_act_RangeAverage;CB1483968641L-10681-1482242139-1340260725_act_RangeAverage;CB1483968662L-10681-1482242141-2064399623_act_RangeAverage;CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_act_RangeAverage;CB1484054649CB1483972179CB1483633443L-3491-1483629212-993412282_act_RangeAverage;CB1484054657CB1483972215CB1483972179CB1483633443L-3491-1483629212-993412282_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1483967969L-2946-1482229829-1336791198_excIn_RangeAverage;CB1483968641L-10681-1482242139-1340260725_excIn_RangeAverage;CB1483968662L-10681-1482242141-2064399623_excIn_RangeAverage;CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_excIn_RangeAverage;CB1484054649CB1483972179CB1483633443L-3491-1483629212-993412282_excIn_RangeAverage;CB1484054657CB1483972215CB1483972179CB1483633443L-3491-1483629212-993412282_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1483967969L-2946-1482229829-1336791198_inhIn_RangeAverage;CB1483968641L-10681-1482242139-1340260725_inhIn_RangeAverage;CB1483968662L-10681-1482242141-2064399623_inhIn_RangeAverage;CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_inhIn_RangeAverage;CB1484054649CB1483972179CB1483633443L-3491-1483629212-993412282_inhIn_RangeAverage;CB1484054657CB1483972215CB1483972179CB1483633443L-3491-1483629212-993412282_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1483967969L-2946-1482229829-1336791198_vm_RangeAverage;CB1483968641L-10681-1482242139-1340260725_vm_RangeAverage;CB1483968662L-10681-1482242141-2064399623_vm_RangeAverage;CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_vm_RangeAverage;CB1484054649CB1483972179CB1483633443L-3491-1483629212-993412282_vm_RangeAverage;CB1484054657CB1483972215CB1483972179CB1483633443L-3491-1483629212-993412282_vm_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
42;0.000104167;0;0.15;0.035;0.045;0.18;0;0.982402;0.837402;0;0.0384234;0.14;0.045;0.045;0.27;0.982441;2.0629;0.0384234;0;0;0;0;0.33;0;-1.2255;-0.0384234;0.0384234;0.14;0.045;0.045;-0.06;0.982441;
43;0.000104167;0.0025;0;0;0.315;0.39;0;0.981059;0.837402;0.000104167;0;0.075;0.315;0.315;0.045;0.981098;2.0629;0;0.000104167;0;0;0;0.18;0;-1.2255;0.000104167;-0.000104167;0.075;0.315;0.315;-0.135;0.981098;
44;0.000408701;0;0;0;0;0;0;0.979676;0.836059;0.000104167;0.000104167;0.00125;0;0;0.315;0.979725;2.05988;0.000104167;0.000104167;0;0;0;0.39;0;-1.22382;0;0;0.00125;0;0;-0.075;0.979725;
45;0.000807598;0.0075;0;0;0;0;0;0.978255;0.834676;0.000408701;0.000104167;0;0;0;0;0.978294;2.05677;0.000104167;0.000408701;0;0;0;0;0;-1.2221;0.000304534;-0.000304534;0;0;0;0;0.978294;
46;0.00119363;0.01;0;0;0;0;0;0.978255;0.833255;0.000807598;0.000408701;0.00375;0;0;0;0.978294;2.05357;0.000408701;0.000807598;0;0;0;0;0;-1.22032;0.000398897;-0.000398897;0.00375;0;0;0;0.978294;
47;0.00119363;0.01;0;0;0;0;0;0.96851;0.833255;0.00119363;0.000807598;0.005;0;0;0;0.976794;2.05357;0.000807598;0.00119363;0;0;0;0;0;-1.22032;0.000386029;-0.000386029;0.005;0;0;0;0.976794;
48;0.00470098;0;0;0;0;0;0;0.966716;0.82351;0.00119363;0.00119363;0.005;0;0;0;0.975304;2.03165;0.00119363;0.00119363;0;0;0;0;0;-1.20814;0;0;0.005;0;0;0;0.975304;
49;0.00520527;0.01;0;0;0;0;0;0.966118;0.821716;0.00470098;0.00119363;0;0;0;0;0.973637;2.02761;0.00119363;0.00470098;0;0;0;0;0;-1.20589;0.00350735;-0.00350735;0;0;0;0;0.973637;
50;0.00524265;0.005;0.005;0;0;0;0;0.965441;0.821118;0.00520527;0.00470098;0.005;0;0;0;0.972;2.02626;0.00470098;0.00520527;0;0;0;0;0;-1.20515;0.000504289;-0.000504289;0.005;0;0;0;0.972;
51;0.00528493;0;0;0;0;0;0;0.961275;0.820441;0.00524265;0.00520527;0.005;0;0;0;0.970324;2.02474;0.00520527;0.00524265;0;0;0;0;0;-1.2043;3.73775e-05;-3.73775e-05;0.005;0;0;0;0.970324;
52;0.00554534;0;0;0;0.01125;0.03;0;0.96;0.816275;0.00528493;0.00524265;0;0.01125;0.01125;0;0.968569;2.01537;0.00524265;0.00528493;0;0;0;0;0;-1.19909;4.22794e-05;-4.22794e-05;0;0.01125;0.01125;0;0.968569;
53;0.005625;0.0075;0.0025;0;0;0;0;0.96;0.815;0.00554534;0.00528493;0;0;0;0.01125;0.964922;2.0125;0.00528493;0.00554534;0;0;0;0.03;0;-1.1975;0.000260417;-0.000260417;0;0;0;-0.01875;0.964922;
54;0.005625;0.0025;0.0075;0.0025;0;0;0;0.96;0.815;0.005625;0.00554534;0.005;0;0;0;0.962971;2.0125;0.00554534;0.005625;0;0;0;0;0;-1.1975;7.96569e-05;-7.96569e-05;0.005;0;0;0;0.962971;
55;0.005625;0;0;0;0.01125;0.045;0;0.96;0.815;0.005625;0.005625;0.005;0.01125;0.01125;0;0.96102;2.0125;0.005625;0.005625;0;0;0;0;0;-1.1975;0;0;0.005;0.01125;0.01125;0;0.96102;
56;0.005625;0;0;0;0.01125;0.045;0;0.957029;0.815;0.005625;0.005625;0;0.01125;0.01125;0.01125;0.957029;2.0125;0.005625;0.005625;0;0;0;0.045;0;-1.1975;0;0;0;0.01125;0.01125;-0.03375;0.957029;
57;0.00525858;0;0;0;0;0;0;0.952431;0.812029;0.005625;0.005625;0;0;0;0.01125;0.952431;2.00582;0.005625;0.005625;0;0;0;0.045;0;-1.19379;0;0;0;0;0;-0.03375;0.952431;
58;0.00472978;0;0.01;0;0;0;0;0.950118;0.807431;0.00525858;0.005625;0;0;0;0;0.950118;1.99547;0.005625;0.00525858;0;0;0;0;0;-1.18804;-0.000366422;0.000366422;0;0;0;0;0.950118;
59;0.00449142;0;0.01;0;0;0;0;0.94552;0.805118;0.00472978;0.00525858;0.005;0;0;0;0.94552;1.99026;0.00525858;0.00472978;0;0;0;0;0;-1.18515;-0.000528799;0.000528799;0.005;0;0;0;0.94552;
60;0.00453799;0;0.01;0;0;0;0;0.940814;0.80052;0.00449142;0.00472978;0.005;0;0;0;0.940814;1.97992;0.00472978;0.00449142;0;0;0;0;0;-1.1794;-0.000238358;0.000238358;0.005;0;0;0;0.940814;
61;0.00489706;0.01;0.01;0;0;0;0;0.916225;0.795814;0.00453799;0.00449142;0.005;0;0;0;0.933245;1.96933;0.00449142;0.00453799;0;0;0;0;0;-1.17352;4.65686e-05;-4.65686e-05;0.005;0;0;0;0.933245;
62;0.0114442;0.02;0.01;0.005;0;0;0;0.915157;0.771225;0.00489706;0.00453799;0.01;0;0;0;0.928176;1.91401;0.00453799;0.00489706;0;0;0;0;0;-1.14278;0.000359069;-0.000359069;0.01;0;0;0;0.928176;
63;0.011527;0.03;0.01;0.005;0.0225;0.06;0;0.909657;0.770157;0.0114442;0.00489706;0.015;0.0225;0.0225;0;0.919941;1.9116;0.00489706;0.0114442;0;0;0;0;0;-1.14145;0.00654718;-0.00654718;0.015;0.0225;0.0225;0;0.919941;
64;0.011867;0.01;0;0.005;0.045;0.12;0;0.909686;0.764657;0.011527;0.0114442;0.02;0.045;0.045;0.0225;0.911235;1.89923;0.0114442;0.011527;0;0;0;0.06;0;-1.13457;8.27206e-05;-8.27206e-05;0.02;0.045;0.045;-0.0375;0.911235;
65;0.0118689;0.01;0.03;0;0.045;0.12;0;0.901971;0.764686;0.011867;0.011527;0.005;0.045;0.045;0.045;0.902127;1.89929;0.011527;0.011867;0;0;0;0.12;0;-1.13461;0.000340074;-0.000340074;0.005;0.045;0.045;-0.075;0.902127;
66;0.0104638;0;0;0.005;0;0;0;0.889225;0.756971;0.0118689;0.011867;0.02;0;0;0.045;0.889294;1.88193;0.011867;0.0118689;0;0;0;0.12;0;-1.12496;1.83824e-06;-1.83824e-06;0.02;0;0;-0.075;0.889294;
67;0.00877145;0;0.03;0;0.045;0.17;0;0.861892;0.744225;0.0104638;0.0118689;0;0.045;0.045;0;0.875588;1.85326;0.0118689;0.0104638;0;0;0;0;0;-1.10903;-0.00140502;0.00140502;0;0.045;0.045;0;0.875588;
68;0.0128045;0.01;0.03;0;0;0;0;0.839667;0.716892;0.00877145;0.0104638;0.015;0;0;0.045;0.857343;1.79176;0.0104638;0.00877145;0;0;0;0.17;0;-1.07487;-0.0016924;0.0016924;0.015;0;0;-0.125;0.857343;
69;0.018106;0.0325;0.03;0.005;0;0;0;0.837873;0.694667;0.0128045;0.00877145;0.02;0;0;0;0.838078;1.74175;0.00877145;0.0128045;0;0;0;0;0;-1.04708;0.00403309;-0.00403309;0.02;0;0;0;0.838078;
70;0.0176991;0.03;0.03;0.01;0.0225;0.08;0;0.812686;0.692873;0.018106;0.0128045;0.03125;0.0225;0.0225;0;0.812922;1.73771;0.0128045;0.018106;0;0;0;0;0;-1.04484;0.00530147;-0.00530147;0.03125;0.0225;0.0225;0;0.812922;
71;0.0129841;0;0.0025;0.0025;0.05625;0.105;0;0.755294;0.667686;0.0176991;0.018106;0.03;0.05625;0.05625;0.0225;0.781578;1.68104;0.018106;0.0176991;0;0;0;0.08;0;-1.01336;-0.000406863;0.000406863;0.03;0.05625;0.05625;-0.0575;0.781578;
72;0.0240061;0.01;0.05;0;0.0675;0.0975;0;0.747422;0.610294;0.0129841;0.0176991;0.00125;0.0675;0.0675;0.05625;0.747882;1.55191;0.0176991;0.0129841;0;0;0;0.105;0;-0.941618;-0.00471507;0.00471507;0.00125;0.0675;0.0675;-0.04875;0.747882;
73;0.0237776;0.07;0.05;0.005;0;0;0;0.705716;0.602422;0.0240061;0.0129841;0.03;0;0;0.0675;0.706206;1.5342;0.0129841;0.0240061;0;0;0;0.0975;0;-0.931777;0.0110221;-0.0110221;0.03;0;0;-0.03;0.706206;
74;0.0157138;0.01;0.03;0.015;0.0225;0.08;0;0.64;0.560716;0.0237776;0.0240061;0.06;0.0225;0.0225;0;0.649235;1.44036;0.0240061;0.0237776;0;0;0;0;0;-0.879645;-0.000228554;0.000228554;0.06;0.0225;0.0225;0;0.649235;
75;0.030625;0.02;0.07;0.005;0.135;0.15;0;0.580569;0.495;0.0157138;0.0237776;0.02;0.135;0.135;0.0225;0.580569;1.2925;0.0237776;0.0157138;0;0;0;0.08;0;-0.7975;-0.00806373;0.00806373;0.02;0.135;0.135;-0.0575;0.580569;
76;0.018242;0.09;0.07;0.005;0.045;0.17;0;0.499363;0.435723;0.030625;0.0157138;0.045;0.045;0.045;0.135;0.49952;1.15891;0.0157138;0.030625;0;0;0;0.15;0;-0.723184;0.0149112;-0.0149112;0.045;0.045;0.045;-0.015;0.49952;
77;0.0342316;0.02;0.09;0.02;0.045;0.12;0;0.360951;0.3545;0.018242;0.030625;0.08;0.045;0.045;0.045;0.403314;0.976186;0.030625;0.018242;0;0;0;0.17;0;-0.621686;-0.012383;0.012383;0.08;0.045;0.045;-0.125;0.403314;
78;0.0430276;0.11;0.09;0.005;0.18;0.16;0;0.279343;0.216105;0.0342316;0.018242;0.055;0.18;0.18;0.045;0.282343;0.664797;0.018242;0.0342316;0;0;0;0.12;0;-0.448691;0.0159896;-0.0159896;0.055;0.18;0.18;-0.075;0.282343;
79;0.0254571;0.13;0.11;0.025;0.045;0.12;0.045;0.149147;0.160165;0.0430276;0.0342316;0.1;0.045;0.045;0.18;0.149676;0.481213;0.0342316;0.0430276;0;0;0;0.16;0;-0.321048;0.00879596;-0.00879596;0.1;0.045;0.045;0.02;0.149676;
80;0.0384234;0.0225;0.1325;0.03;0.225;0.2;0;0.983725;0.0786164;0.0254571;0.0430276;0.12;0.225;0.225;0.045;0.983765;0.218975;0.0430276;0.0254571;0;0;0;0.12;0;-0.140359;-0.0175705;0.0175705;0.12;0.225;0.225;-0.075;0.983765;
81;0;0.15;0.13;0.005;0.27;0.33;0.045;0.982402;0.838725;0.0384234;0.0254571;0.0775;0.27;0.27;0.225;0.982441;2.06588;0.0254571;0.0384234;0;0;0;0.2;0;-1.22716;0.0129663;-0.0129663;0.0775;0.27;0.27;0.025;0.982441;
82;0.000104167;0;0.15;0.035;0.045;0.18;0;0.982402;0.837402;0;0.0384234;0.14;0.045;0.045;0.27;0.982441;2.0629;0.0384234;0;0;0;0;0.33;0;-1.2255;-0.0384234;0.0384234;0.14;0.045;0.045;-0.06;0.982441;
83;0.000104167;0.0025;0;0;0.315;0.39;0;0.981059;0.837402;0.000104167;0;0.075;0.315;0.315;0.045;0.981098;2.0629;0;0.000104167;0;0;0;0.18;0;-1.2255;0.000104167;-0.000104167;0.075;0.315;0.315;-0.135;0.981098;
84;0.000408701;0;0;0;0;0;0;0.979676;0.836059;0.000104167;0.000104167;0.00125;0;0;0.315;0.979725;2.05988;0.000104167;0.000104167;0;0;0;0.39;0;-1.22382;0;0;0.00125;0;0;-0.075;0.979725;
85;0.000807598;0.0075;0;0;0;0;0;0.978255;0.834676;0.000408701;0.000104167;0;0;0;0;0.978294;2.05677;0.000104167;0.000408701;0;0;0;0;0;-1.2221;0.000304534;-0.000304534;0;0;0;0;0.978294;
86;0.00119363;0.01;0;0;0;0;0;0.978255;0.833255;0.000807598;0.000408701;0.00375;0;0;0;0.978294;2.05357;0.000408701;0.000807598;0;0;0;0;0;-1.22032;0.000398897;-0.000398897;0.00375;0;0;0;0.978294;
87;0.00119363;0.01;0;0;0;0;0;0.96851;0.833255;0.00119363;0.000807598;0.005;0;0;0;0.976794;2.05357;0.000807598;0.00119363;0;0;0;0;0;-1.22032;0.000386029;-0.000386029;0.005;0;0;0;0.976794;
88;0.00470098;0;0;0;0;0;0;0.966716;0.82351;0.00119363;0.00119363;0.005;0;0;0;0.975304;2.03165;0.00119363;0.00119363;0;0;0;0;0;-1.20814;0;0;0.005;0;0;0;0.975304;
89;0.00520527;0.01;0;0;0;0;0;0.966118;0.821716;0.00470098;0.00119363;0;0;0;0;0.973637;2.02761;0.00119363;0.00470098;0;0;0;0;0;-1.20589;0.00350735;-0.00350735;0;0;0;0;0.973637;
90;0.00524265;0.005;0.005;0;0;0;0;0.965441;0.821118;0.00520527;0.00470098;0.005;0;0;0;0.972;2.02626;0.00470098;0.00520527;0;0;0;0;0;-1.20515;0.000504289;-0.000504289;0.005;0;0;0;0.972;
91;0.00528493;0;0;0;0;0;0;0.961275;0.820441;0.00524265;0.00520527;0.005;0;0;0;0.970324;2.02474;0.00520527;0.00524265;0;0;0;0;0;-1.2043;3.73775e-05;-3.73775e-05;0.005;0;0;0;0.970324;
92;0.00554534;0;0;0;0.01125;0.03;0;0.96;0.816275;0.00528493;0.00524265;0;0.01125;0.01125;0;0.968569;2.01537;0.00524265;0.00528493;0;0;0;0;0;-1.19909;4.22794e-05;-4.22794e-05;0;0.01125;0.01125;0;0.968569;
93;0.005625;0.0075;0.0025;0;0;0;0;0.96;0.815;0.00554534;0.00528493;0;0;0;0.01125;0.964922;2.0125;0.00528493;0.00554534;0;0;0;0.03;0;-1.1975;0.000260417;-0.000260417;0;0;0;-0.01875;0.964922;
94;0.005625;0.0025;0.0075;0.0025;0;0;0;0.96;0.815;0.005625;0.00554534;0.005;0;0;0;0.962971;2.0125;0.00554534;0.005625;0;0;0;0;0;-1.1975;7.96569e-05;-7.96569e-05;0.005;0;0;0;0.962971;
95;0.005625;0;0;0;0.01125;0.045;0;0.96;0.815;0.005625;0.005625;0.005;0.01125;0.01125;0;0.96102;2.0125;0.005625;0.005625;0;0;0;0;0;-1.1975;0;0;0.005;0.01125;0.01125;0;0.96102;
96;0.005625;0;0;0;0.01125;0.045;0;0.957029;0.815;0.005625;0.005625;0;0.01125;0.01125;0.01125;0.957029;2.0125;0.005625;0.005625;0;0;0;0.045;0;-1.1975;0;0;0;0.01125;0.01125;-0.03375;0.957029;
97;0.00525858;0;0;0;0;0;0;0.952431;0.812029;0.005625;0.005625;0;0;0;0.01125;0.952431;2.00582;0.005625;0.005625;0;0;0;0.045;0;-1.19379;0;0;0;0;0;-0.03375;0.952431;
98;0.00472978;0;0.01;0;0;0;0;0.950118;0.807431;0.00525858;0.005625;0;0;0;0;0.950118;1.99547;0.005625;0.00525858;0;0;0;0;0;-1.18804;-0.000366422;0.000366422;0;0;0;0;0.950118;
99;0.00449142;0;0.01;0;0;0;0;0.94552;0.805118;0.00472978;0.00525858;0.005;0;0;0;0.94552;1.99026;0.00525858;0.00472978;0;0;0;0;0;-1.18515;-0.000528799;0.000528799;0.005;0;0;0;0.94552;
100;0.00453799;0;0.01;0;0;0;0;0.940814;0.80052;0.00449142;0.00472978;0.005;0;0;0;0.940814;1.97992;0.00472978;0.00449142;0;0;0;0;0;-1.1794;-0.000238358;0.000238358;0.005;0;0;0;0.940814;
101;0.00489706;0.01;0.01;0;0;0;0;0.916225;0.795814;0.00453799;0.00449142;0.005;0;0;0;0.933245;1.96933;0.00449142;0.00453799;0;0;0;0;0;-1.17352;4.65686e-05;-4.65686e-05;0.005;0;0;0;0.933245;
102;0.0114442;0.02;0.01;0.005;0;0;0;0.915157;0.771225;0.00489706;0.00453799;0.01;0;0;0;0.928176;1.91401;0.00453799;0.00489706;0;0;0;0;0;-1.14278;0.000359069;-0.000359069;0.01;0;0;0;0.928176;
103;0.011527;0.03;0.01;0.005;0.0225;0.06;0;0.909657;0.770157;0.0114442;0.00489706;0.015;0.0225;0.0225;0;0.919941;1.9116;0.00489706;0.0114442;0;0;0;0;0;-1.14145;0.00654718;-0.00654718;0.015;0.0225;0.0225;0;0.919941;
104;0.011867;0.01;0;0.005;0.045;0.12;0;0.909686;0.764657;0.011527;0.0114442;0.02;0.045;0.045;0.0225;0.911235;1.89923;0.0114442;0.011527;0;0;0;0.06;0;-1.13457;8.27206e-05;-8.27206e-05;0.02;0.045;0.045;-0.0375;0.911235;
